run_id,N_seq,L_aln,effective_L,C_mean,H_mean,pos_conserved,pos_critical,top_conserved,diversity
20260206_125937,300,235,235,0.7609299841199927,0.8285080315812491,112,99,"[(19, 'H', np.float64(1.0)), (22, 'V', np.float64(1.0)), (29, 'S', np.float64(1.0)), (46, 'V', np.float64(1.0)), (50, 'S', np.float64(1.0)), (60, 'P', np.float64(1.0)), (62, 'V', np.float64(1.0)), (63, 'E', np.float64(1.0)), (65, 'P', np.float64(1.0)), (68, 'P', np.float64(1.0))]",0.19807142826684282
20260208_134157,300,244,241,0.6719123568107337,1.0956356801483644,80,67,"[(9, 'R', np.float64(1.0)), (20, 'H', np.float64(1.0)), (26, 'G', np.float64(1.0)), (31, 'P', np.float64(1.0)), (41, 'P', np.float64(1.0)), (46, 'V', np.float64(1.0)), (47, 'E', np.float64(1.0)), (61, 'K', np.float64(1.0)), (63, 'P', np.float64(1.0)), (65, 'P', np.float64(1.0))]",0.3594645280939457
20260207_185027,300,250,243,0.6295303648312465,1.1948093736584382,67,54,"[(14, 'P', np.float64(1.0)), (20, 'H', np.float64(1.0)), (25, 'A', np.float64(1.0)), (53, 'P', np.float64(1.0)), (61, 'P', np.float64(1.0)), (64, 'V', np.float64(1.0)), (66, 'V', np.float64(1.0)), (71, 'P', np.float64(1.0)), (74, 'E', np.float64(1.0)), (75, 'P', np.float64(1.0))]",0.44264059275544854
20260208_110811,300,245,245,0.5926090749938462,1.4196950104720443,58,40,"[(20, 'H', np.float64(1.0)), (21, 'G', np.float64(1.0)), (29, 'F', np.float64(1.0)), (52, 'P', np.float64(1.0)), (59, 'P', np.float64(1.0)), (61, 'P', np.float64(1.0)), (65, 'P', np.float64(1.0)), (70, 'P', np.float64(1.0)), (72, 'I', np.float64(1.0)), (73, 'E', np.float64(1.0))]",0.5783708635428273
20260208_163840,300,258,258,0.5868863049095607,1.4974076323077439,67,52,"[(22, 'H', np.float64(1.0)), (64, 'P', np.float64(1.0)), (71, 'P', np.float64(1.0)), (73, 'P', np.float64(1.0)), (77, 'P', np.float64(1.0)), (79, 'P', np.float64(1.0)), (80, 'E', np.float64(1.0)), (84, 'P', np.float64(1.0)), (85, 'E', np.float64(1.0)), (86, 'C', np.float64(1.0))]",0.6185996000392779
20260205_211807,300,264,261,0.5614816443777018,1.56585315765759,58,48,"[(9, 'S', np.float64(1.0)), (49, 'V', np.float64(1.0)), (68, 'P', np.float64(1.0)), (70, 'P', np.float64(1.0)), (79, 'E', np.float64(1.0)), (82, 'P', np.float64(1.0)), (85, 'E', np.float64(1.0)), (86, 'P', np.float64(1.0)), (99, 'K', np.float64(1.0)), (100, 'P', np.float64(1.0))]",0.6866553518419897
20260208_174634,300,256,256,0.5600766060968201,1.5388262606476775,44,34,"[(21, 'H', np.float64(1.0)), (54, 'S', np.float64(1.0)), (68, 'E', np.float64(1.0)), (69, 'P', np.float64(1.0)), (74, 'P', np.float64(1.0)), (77, 'E', np.float64(1.0)), (80, 'E', np.float64(1.0)), (82, 'P', np.float64(1.0)), (84, 'P', np.float64(1.0)), (85, 'E', np.float64(1.0))]",0.6769656712114657
20260208_110950,300,244,240,0.5600524072146446,1.534365391609756,51,38,"[(1, 'W', np.float64(1.0)), (20, 'H', np.float64(1.0)), (45, 'P', np.float64(1.0)), (48, 'V', np.float64(1.0)), (69, 'P', np.float64(1.0)), (72, 'E', np.float64(1.0)), (73, 'P', np.float64(1.0)), (74, 'E', np.float64(1.0)), (75, 'P', np.float64(1.0)), (79, 'E', np.float64(1.0))]",0.6750403604918713
20260208_162534,300,237,237,0.5542644401034529,1.6542017498797916,51,37,"[(19, 'H', np.float64(1.0)), (52, 'A', np.float64(1.0)), (58, 'P', np.float64(1.0)), (63, 'P', np.float64(1.0)), (69, 'P', np.float64(1.0)), (70, 'E', np.float64(1.0)), (71, 'P', np.float64(1.0)), (72, 'E', np.float64(1.0)), (77, 'E', np.float64(1.0)), (79, 'P', np.float64(1.0))]",0.7373365431645169
20260206_100650,300,262,255,0.5291724924283249,1.711799035164899,45,36,"[(5, 'P', np.float64(1.0)), (21, 'H', np.float64(1.0)), (46, 'A', np.float64(1.0)), (52, 'V', np.float64(1.0)), (75, 'P', np.float64(1.0)), (78, 'P', np.float64(1.0)), (79, 'E', np.float64(1.0)), (80, 'P', np.float64(1.0)), (84, 'P', np.float64(1.0)), (85, 'E', np.float64(1.0))]",0.8059620731902877
